,Sr_No,FIR_No,IPC,Date_of_offence,Date_of_FIR,Police_station,Day,Time_of_offence,First_vehicle,Fatalities,Serious,Minor,Second_vehicle,Fatalities_1,Serious_1,Minor_1,Type_of_collision,Hit_and_run,Intersection_mid_block,Maneuver_type,Place_of_occurence,Total_Fatalities,Total_serious,Total_minor,Latitude,Longitude,Road_name,Road_number,Rural_urban,geo
104,105,53,"279, 304 A, 427",06/05/2017,2017-06-05,Nurpur Bedi,1900-01-02,10:00:00,Bus/Truck,0,0,0,Two wheeler,1,1,0,Head on,1,Mid Block,over Speeding,daburji Farm Rainsrha,1,1,0,31.228621,76.364528,Link Road,Link Road,Rural,"31.228621,76.364528"
105,106,72,"279,304 A,337",07/03/2017,2017-07-03,Nurpur Bedi,1900-01-02,00:15:00,Bus/Truck,1,0,0,Unknown,2,0,0,Unknown,0,Intersection,Over Speeding,Near Bus/Truck Stand Kalma ,3,0,0,31.231247,76.39327,MDR,MDR-55,Rural,"31.231247,76.39327"
106,107,75,"279,304-A,337,338,427",07/06/2017,2017-07-07,Nurpur Bedi,1900-01-05,20:30:00,Tractor-Trolley,0,0,0,Two wheeler,1,1,0,Head on,1,Mid Block,Over Speeding,Near Vill.Ajampur,1,1,0,31.158908,76.487419,MDR,MDR-55,Rural,"31.158908,76.487419"
107,108,77,279337338,07/23/2017,2017-07-28,Nurpur Bedi,1900-01-01,18:40:00,Two Wheeler,0,0,0,Pedestrian,0,1,0,Hit Pedestrian,1,Mid Block,Over Speeding,Vill.Thana,0,1,0,31.209682,76.441636,Link Road,Link Road,Rural,"31.209682,76.441636"
108,109,78,279337338427,08/02/2017,2017-08-04,Nurpur Bedi,1900-01-04,07:00:00,Bus/Truck,0,0,0,Bus/Truck,0,1,0,Unknown,1,Intersection,Over Speeding,Vill.Bassi,0,1,0,31.154649,76.544849,Link Road,Link Road,Rural,"31.154649,76.544849"
109,110,87,"279,304 A,427",08/17/2017,2017-08-23,Nurpur Bedi,1900-01-05,06:15:00,Car/Jeep/Van,0,0,0,Two wheeler,1,1,0,Head on,1,Intersection,Over Speeding,Vill.Sekhpur,1,1,0,31.155946,76.529961,Link Road,Link Road,Rural,"31.155946,76.529961"
110,111,89,"283,304 A,427",08/30/2017,2017-08-30,Nurpur Bedi,1900-01-04,01:00:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,2,0,Head on,0,Mid Block,Wrong Parking,Vill Chehrh mjara,1,2,0,31.159339,76.507364,Link Road,Link Road,Rural,"31.159339,76.507364"
111,112,96,"279,337,338,304 A,427",09/10/2017,2017-09-12,Nurpur Bedi,1900-01-01,17:30:00,Unknown,0,0,0,Two wheeler,1,0,0,Head on,1,Intersection,Over Speeding,Asalpur road Bainsa,1,0,0,31.129674,76.515995,MDR,MDR-55,Rural,"31.129674,76.515995"
112,113,104,279337338427,09/29/2017,2017-10-03,Nurpur Bedi,1900-01-06,18:00:00,Two Wheeler,0,0,0,Two wheeler,0,1,1,Unknown,0,Intersection,Over Speeding,Power house Bainsa,0,1,1,31.12992,76.51577,MDR,MDR-55,Rural,"31.12992,76.51577"
113,114,112,"279,304 A,427",10/18/2017,2017-10-18,Nurpur Bedi,1900-01-04,11:00:00,Unknown,0,0,0,Two wheeler,1,0,0,Head on,1,Intersection,Over Speeding,Near sawarn Palace Nurpur bedi,1,0,0,31.163865,76.476379,Link Road,Link Road,Urban,"31.163865,76.476379"
114,115,125,"279,304 A",11/07/2017,2017-11-07,Nurpur Bedi,1900-01-03,12:00:00,Unknown,0,0,0,Two wheeler,1,0,0,Head on,1,Mid Block,Over Speeding,vill.Hiatpur Near PBJS School,1,0,0,31.160735,76.414711,Link Road,Link Road,Rural,"31.160735,76.414711"
115,116,139,"279,304 A",12/12/2017,2017-12-13,Nurpur Bedi,1900-01-03,19:00:00,Unknown,0,0,0,Pedestrian,1,0,0,Head on,1,Mid Block,Over Speeding,Petrol pump bassi,1,0,0,31.153683,76.552042,Link Road,Link Road,Rural,"31.153683,76.552042"
116,117,2,"279,304-A",01/01/2017,2017-01-01,Sadar Roopnagar,1900-01-01,17:30:00,Unknown,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Mid Block,Over Speeding,Thali Kalan,1,0,0,31.0216472,76.5852962,Link Road,Link Road,Rural,"31.0216472,76.5852962"
117,118,11,"279,304-A,427",01/21/2017,2017-01-22,Sadar Roopnagar,1900-01-07,11:30:00,Two Wheeler,0,0,0,Cyclist,1,0,0,Head On,0,Intersection,Over Speeding,Ramgarh Tapprian,1,0,0,30.9361502,76.6168034,Link Road,Link Road,Rural,"30.9361502,76.6168034"
118,119,17,"279,304-A",02/14/2017,2017-02-17,Sadar Roopnagar,1900-01-03,18:30:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Head On,0,Mid Block,Over Speeding,Panjola,1,0,0,30.9182574,76.5979462,Link Road,Link Road,Rural,"30.9182574,76.5979462"
119,120,40,"279,304-A,427",04/30/2017,2017-04-30,Sadar Roopnagar,1900-01-01,18:30:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Head On,0,Mid Block,Over Speeding,Khauspur,1,0,0,30.9957874,76.5443876,NH,NH-205,Rural,"30.9957874,76.5443876"
